baseUrl,SolutionCode,Username,Password,Language,TYPE,CATEGORY,SOURCE,QUALITY_PORTAL,NUMBERING_SCHEME_CODE,OWNING_SITE_NAME,OWNING_SITE_CODE,PRODUCTLINE_CODE,PRODUCTLINE_NAME,PRODUCT_NAME,PRODUCT_CODE,TITLE,PROBLEM_STATEMENT,ENU_OWNER_CODE_VERIFY,CLOSURE_INTERVAL_VERIFY,IMPL_INTERVAL_VERIFY,INVEST_INTERVAL_VERIFY,PLAN_INTERVAL_VERIFY,CLOSURE_REQ_VERIFY,CROSS_SITE_VERIFY,HEAT_MAP_CODE_VERIFY,RISK_BASED_ON_VERIFY,INVEST_DUE_DATE_VERIFY,IMPL_DUE_DATE_VERIFY,CLOSURE_DUE_DATE_VERIFY,IS_REPEAT_VERIFY,RISK_ASSESSMENT_TYPE_VERIFY,SEVERITY_RATING_NAME_VERIFY,REQUIRED_ACTION_VERIFY,RISK_RPN_VERIFY,SEVERITY_RATING_VERIFY,OCCURRENCE_RATING_NAME_VERIFY,OCCURRENCE_RATING_VERIFY,HEAT_MAP_VALUES_VERIFY,RATIONALE_SEV_SELECTON_VERIFY,DETECTION_RATING_VERIFY,DETECTION_RATING_NAME_VERIFY,PILGRIM_INSPECT_MGMT_REQ_VERIFY,RISK_ASSESSMENT_REQ_VERIFY,RPN_THRESHOLD_VERIFY,TOTAL_DISPOSITION_QTY_VERIFY
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,false,false,nullCAPAnull,Heat Map,,,,false,Initial,Minor,null,16,2,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,,,,,,false,false,nullCAPAnull,Heat Map,,,,false,Initial,Minor,null,16,2,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,true,false,nullCAPAnull,Heat Map,,,,false,Initial,Minor,null,16,2,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,false,true,nullCAPAnull,Heat Map,,,,false,Initial,Minor,null,16,2,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,false,false,,Heat Map,,,,false,Initial,Minor,null,16,2,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,false,false,nullCAPAnull,,,,,false,Initial,Minor,null,16,2,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,false,false,nullCAPAnull,Heat Map,,,,true,Initial,Minor,null,16,2,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,false,false,nullCAPAnull,Heat Map,,,,true,,Minor,null,16,2,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,false,false,nullCAPAnull,Heat Map,,,,true,Initial,,null,16,2,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,false,false,nullCAPAnull,Heat Map,,,,true,Initial,Minor,null,,2,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,false,false,nullCAPAnull,Heat Map,,,,true,Initial,Minor,null,16,,Low,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
https://ca9sweb00058d.production.imsglobal.com/SS1122R2RC2,CAPA,smartadmin@auto.com,Pilgrim!,es-ES,Internal,Product,General,FALSE,Numbering,Default,DEFAULT,CAPAProductLine,CAPA Product Line,CAPA Part1,CAPAPART1,Title,Desc,COORD,,,,,false,false,nullCAPAnull,Heat Map,,,,true,Initial,Minor,null,16,2,,2,"( 2 , 2 )",severity rationale,4,Low,FALSE,TRUE,126,0
